25-10-04 14:47:11.231 [main] INFO  c.r.journalApp.JournalApplication - Starting JournalApplication using Java 24.0.1 with PID 58075 (/Users/riteshsaxena/Downloads/Personal/Projects/journalApp/target/classes started by riteshsaxena in /Users/riteshsaxena/Downloads/Personal/Projects/journalApp) 
25-10-04 14:47:11.244 [main] INFO  c.r.journalApp.JournalApplication - The following 1 profile is active: "dev" 
25-10-04 14:47:14.186 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
25-10-04 14:47:14.366 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 148 ms. Found 2 MongoDB repository interfaces. 
25-10-04 14:47:15.240 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http) 
25-10-04 14:47:15.261 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
25-10-04 14:47:15.263 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
25-10-04 14:47:15.264 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.46] 
25-10-04 14:47:15.344 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
25-10-04 14:47:15.345 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3765 ms 
25-10-04 14:47:15.705 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.2.1"}, "os": {"type": "Darwin", "name": "Mac OS X", "architecture": "x86_64", "version": "26.0.1"}, "platform": "Java/Oracle Corporation/24.0.1+9-30"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='riteshsaxenacareers_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@1dad01fe, com.mongodb.Jep395RecordCodecProvider@3728a578, com.mongodb.KotlinCodecProvider@3e3cd6fe]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.43vbemd.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-wcne6b-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null} 
25-10-04 14:47:15.723 [cluster-ClusterId{value='68e16bb30e81a85d7b925bf6', description='Cluster0'}-srv-cluster0.43vbemd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-v0n7a1c-shard-00-00.43vbemd.mongodb.net:27017 to client view of cluster 
25-10-04 14:47:15.773 [cluster-ClusterId{value='68e16bb30e81a85d7b925bf6', description='Cluster0'}-srv-cluster0.43vbemd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-v0n7a1c-shard-00-01.43vbemd.mongodb.net:27017 to client view of cluster 
25-10-04 14:47:15.787 [cluster-ClusterId{value='68e16bb30e81a85d7b925bf6', description='Cluster0'}-srv-cluster0.43vbemd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-v0n7a1c-shard-00-02.43vbemd.mongodb.net:27017 to client view of cluster 
25-10-04 14:47:16.921 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29990 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-v0n7a1c-shard-00-01.43vbemd.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-v0n7a1c-shard-00-00.43vbemd.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-v0n7a1c-shard-00-02.43vbemd.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]. 
25-10-04 14:47:17.408 [cluster-ClusterId{value='68e16bb30e81a85d7b925bf6', description='Cluster0'}-ac-v0n7a1c-shard-00-02.43vbemd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-v0n7a1c-shard-00-02.43vbemd.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=691212875, minRoundTripTimeNanos=0, setName='atlas-wcne6b-shard-0', canonicalAddress=ac-v0n7a1c-shard-00-02.43vbemd.mongodb.net:27017, hosts=[ac-v0n7a1c-shard-00-01.43vbemd.mongodb.net:27017, ac-v0n7a1c-shard-00-02.43vbemd.mongodb.net:27017, ac-v0n7a1c-shard-00-00.43vbemd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-v0n7a1c-shard-00-01.43vbemd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='usw2-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_WEST_2'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=48, topologyVersion=TopologyVersion{processId=68e02c095b08491d411cbe72, counter=3}, lastWriteDate=Sat Oct 04 14:47:17 EDT 2025, lastUpdateTimeNanos=297959012773207} 
25-10-04 14:47:17.408 [cluster-ClusterId{value='68e16bb30e81a85d7b925bf6', description='Cluster0'}-ac-v0n7a1c-shard-00-00.43vbemd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-v0n7a1c-shard-00-00.43vbemd.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=691135958, minRoundTripTimeNanos=0, setName='atlas-wcne6b-shard-0', canonicalAddress=ac-v0n7a1c-shard-00-00.43vbemd.mongodb.net:27017, hosts=[ac-v0n7a1c-shard-00-01.43vbemd.mongodb.net:27017, ac-v0n7a1c-shard-00-02.43vbemd.mongodb.net:27017, ac-v0n7a1c-shard-00-00.43vbemd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-v0n7a1c-shard-00-01.43vbemd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='usw2-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_WEST_2'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=48, topologyVersion=TopologyVersion{processId=68e02ba31615e7fd234677cb, counter=4}, lastWriteDate=Sat Oct 04 14:47:17 EDT 2025, lastUpdateTimeNanos=297959012752291} 
25-10-04 14:47:17.408 [cluster-ClusterId{value='68e16bb30e81a85d7b925bf6', description='Cluster0'}-ac-v0n7a1c-shard-00-01.43vbemd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-v0n7a1c-shard-00-01.43vbemd.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=691299083, minRoundTripTimeNanos=0, setName='atlas-wcne6b-shard-0', canonicalAddress=ac-v0n7a1c-shard-00-01.43vbemd.mongodb.net:27017, hosts=[ac-v0n7a1c-shard-00-01.43vbemd.mongodb.net:27017, ac-v0n7a1c-shard-00-02.43vbemd.mongodb.net:27017, ac-v0n7a1c-shard-00-00.43vbemd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-v0n7a1c-shard-00-01.43vbemd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='usw2-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_WEST_2'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000141, setVersion=48, topologyVersion=TopologyVersion{processId=68e02bd5cb5488cf80d5b7bc, counter=6}, lastWriteDate=Sat Oct 04 14:47:17 EDT 2025, lastUpdateTimeNanos=297959012753332} 
25-10-04 14:47:17.421 [cluster-ClusterId{value='68e16bb30e81a85d7b925bf6', description='Cluster0'}-ac-v0n7a1c-shard-00-01.43vbemd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-v0n7a1c-shard-00-01.43vbemd.mongodb.net:27017 with max election id 7fffffff0000000000000141 and max set version 48 
25-10-04 14:47:18.894 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR 
25-10-04 14:47:19.818 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
